코  드,품      명,규      격,단위,재 료 비,노 무 비,경    비,합    계,번  호,비    고,START,품셈개요
5FFC647FF8009843A3BD86CF82C118,"기성말뚝 기초, 점질토(케이싱 미사용)","∮800mm, L=20m / 교량기초",본,"533,294","897,461","443,897","1,874,652",산근 999,오거비트사용,5FFC647FF8009843A3BD86CF82C118,공통 5-3-1
5FFC647FF8009843A3BD86CF82D31F,"기성말뚝 기초, 사질토(케이싱 사용)","∮800mm, L=20m / 교량기초",본,"629,782","1,031,840","639,051","2,300,673",산근 1000,오거비트사용,5FFC647FF8009843A3BD86CF82D31F,공통 5-3-1
5FFC647FF8009843A3BD86CF71DD10,"기성말뚝 기초, 사질토(케이싱 미사용)","∮800mm, L=20m / 교량기초",본,"590,008","992,902","491,104","2,074,014",산근 1001,오거비트사용,5FFC647FF8009843A3BD86CF71DD10,공통 5-3-1
5FFC647FF8009843A3BD86CF71CC19,"기성말뚝 기초, 풍화암(케이싱 사용)","∮800mm, L=20m / 교량기초",본,"1,442,073","2,362,704","1,463,297","5,268,074",산근 1002,오거비트사용,5FFC647FF8009843A3BD86CF71CC19,공통 5-3-1
5FFC647FF8009843A3BD86CF71F91E,"기성말뚝 기초, 풍화암(케이싱 미사용)","∮800mm, L=20m / 교량기초",본,"1,381,427","2,324,749","1,149,854","4,856,030",산근 1003,오거비트사용,5FFC647FF8009843A3BD86CF71F91E,공통 5-3-1
5FFC647FF8009843A3BD86FB5C621C,"말뚝박기천공, 점질토(케이싱 사용)","∮500mm 미만*10m 미만, 개량형비트",M,"5,693","9,298","3,835","18,826",산근 1004,개량형비트사용,5FFC647FF8009843A3BD86FB5C621C,공통 5-3-2
5FFC647FF8009843A3BD86FB5C5015,"말뚝박기천공, 점질토(케이싱 미사용)","∮500mm 미만*10m 미만, 개량형비트",M,"5,671","9,298","3,239","18,208",산근 1005,개량형비트사용,5FFC647FF8009843A3BD86FB5C5015,공통 5-3-2
5FFC647FF8009843A3BD86FB5C471E,"말뚝박기천공, 점질토(케이싱 사용)","∮500mm 미만*20m 미만, 개량형비트",M,"4,552","7,200","3,860","15,612",산근 1006,개량형비트사용,5FFC647FF8009843A3BD86FB5C471E,공통 5-3-2
5FFC647FF8009843A3BD86FB5C3518,"말뚝박기천공, 점질토(케이싱 미사용)","∮500mm 미만*20m 미만, 개량형비트",M,"4,536","7,200","3,226","14,962",산근 1007,개량형비트사용,5FFC647FF8009843A3BD86FB5C3518,공통 5-3-2
5FFC647FF8009843A3BD86FB5C2B11,"말뚝박기천공, 점질토(케이싱 사용)","∮500mm 미만*20m 이상, 개량형비트",M,"4,279","6,507","4,790","15,576",산근 1008,개량형비트사용,5FFC647FF8009843A3BD86FB5C2B11,공통 5-3-2
