코  드,품      명,규      격,단위,재 료 비,노 무 비,경    비,합    계,번  호,비      고,노임계수,할증,품셈개요,장비일위
5FFDE4995897B92C1318885C5A8D1D,돌붙임/찰붙임/깬돌,뒷길이 25cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4966,,,,,
5FFDE4995897B92C1318885C5AB911,돌붙임/찰붙임/깬돌,뒷길이 30cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4967,,,,,
5FFDE4995897B92C1318885C5AA81A,돌붙임/찰붙임/깬돌,뒷길이 35cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4968,,,,,
5FFDE4995897B92C1318885C5AD51F,돌붙임/찰붙임/깬돌,뒷길이 45cm,M2,"3,518.0","43,704.0","5,974.0","53,196.0",호표 4969,,,,,
5FFDE4995897B92C1318885C5ACB18,돌붙임/찰붙임/깬돌,뒷길이 55cm,M2,"3,518.0","43,704.0","5,974.0","53,196.0",호표 4970,,,,,
5FFDE4995897B92C1318885C5AF01C,돌붙임/찰붙임/깬돌,뒷길이 60cm,M2,"3,350.0","38,773.0","5,689.0","47,812.0",호표 4971,,,,,
5FFDE4995897B92C1318885C5AE615,돌붙임/찰붙임/깬돌,뒷길이 75cm,M2,"3,350.0","38,773.0","5,689.0","47,812.0",호표 4972,,,,,
5FFDE4995897B92C1318885C483E11,돌붙임/찰붙임/깬잡석,뒷길이 25cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4973,,,,,
5FFDE4995897B92C1318885C48021D,돌붙임/찰붙임/깬잡석,뒷길이 30cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4974,,,,,
5FFDE4995897B92C1318885C481313,돌붙임/찰붙임/깬잡석,뒷길이 35cm,M2,"3,685.0","48,636.0","6,258.0","58,579.0",호표 4975,,,,,
5FFDE4995897B92C1318885C486B15,돌붙임/찰붙임/깬잡석,뒷길이 45cm,M2,"3,518.0","43,704.0","5,974.0","53,196.0",호표 4976,,,,,
5FFDE4995897B92C1318885C48751C,돌붙임/찰붙임/깬잡석,뒷길이 55cm,M2,"3,518.0","43,704.0","5,974.0","53,196.0",호표 4977,,,,,
5FFDE4995897B92C1318885C484818,돌붙임/찰붙임/깬잡석,뒷길이 60cm,M2,"3,350.0","38,773.0","5,689.0","47,812.0",호표 4978,,,,,
5FFDE4995897B92C1318885C485A1E,돌붙임/찰붙임/깬잡석,뒷길이 75cm,M2,"3,350.0","38,773.0","5,689.0","47,812.0",호표 4979,,,,,
5FFDE4995897B92C1318885C757410,돌붙임/찰붙임/조약돌 야면석,뒷길이 25cm - 19년 1분기 삭제,M2,"1,507.0","17,484.0","2,051.0","21,042.0",호표 4980,,,,,
5FFDE4995897B92C1318885C75481B,돌붙임/찰붙임/조약돌 야면석,뒷길이 30cm - 19년 1분기 삭제,M2,"1,507.0","17,484.0","2,051.0","21,042.0",호표 4981,,,,,
5FFDE4995897B92C1318885C755912,돌붙임/찰붙임/조약돌 야면석,뒷길이 35cm - 19년 1분기 삭제,M2,"2,010.0","23,557.0","2,734.0","28,301.0",호표 4982,,,,,
5FFDE4995897B92C1318885C752D1E,돌붙임/찰붙임/조약돌 야면석,뒷길이 45cm - 19년 1분기 삭제,M2,"3,350.0","35,146.0","4,558.0","43,054.0",호표 4983,,,,,
5FFDE4995897B92C1318885C753E15,돌붙임/찰붙임/조약돌 야면석,뒷길이 55cm - 19년 1분기 삭제,M2,"4,356.0","47,292.0","5,925.0","57,573.0",호표 4984,,,,,
5FFDE4995897B92C1318885C750110,돌붙임/찰붙임/조약돌 야면석,뒷길이 60cm - 19년 1분기 삭제,M2,"4,523.0","47,863.0","6,153.0","58,539.0",호표 4985,,,,,
CRD1,  (☞ 콘크리트계단)-----,,,0.0,0.0,0.0,,호표 4986,,,,,
5FFDE49FE8414B0943C18E66C32817,콘크리트계단(1) - 24-4/4삭제,"W=2.0, H=1.0",개소,"216,563.0","1,283,689.0","22,166.0","1,522,418.0",호표 4987,,,,,
5FFDE49FE8414B0943C18E66C31E10,콘크리트계단(1),"W=2.0, H=2.0",개소,"267,776.0","1,536,455.0","32,190.0","1,836,421.0",호표 4988,,,,,
5FFDE49FE8414B0943C18E66C30D19,콘크리트계단(2),"W=2.0, H=3.0",개소,"357,195.0","1,931,721.0","43,581.0","2,332,497.0",호표 4989,,,,,
5FFDE49FE8414B0943C18E66C37019,콘크리트계단(4) - 24-4/4삭제,"W=2.0, H=4.0",개소,"446,364.0","2,327,780.0","55,011.0","2,829,155.0",호표 4990,,,,,
5FFDE49FE8414B0943C18E66C36612,콘크리트계단(5) - 24-4/4삭제,"W=2.0, H=5.0",개소,"535,895.0","2,723,051.0","66,402.0","3,325,348.0",호표 4991,,,,,
5FFDE49FE8414B0943C18E66C3551B,콘크리트계단(6) - 24-4/4삭제,"W=2.0, H=6.0",개소,"625,175.0","3,119,095.0","77,829.0","3,822,099.0",호표 4992,,,,,
5FFDE49FE8414B0943C18E0C3EF212,콘크리트계단(7) - 24-4/4삭제,"W=4.0, H=1.0",개소,"275,667.0","1,583,409.0","35,089.0","1,894,165.0",호표 4993,,,,,
5FFDE49FE8414B0943C18E0C3EC61E,콘크리트계단(8) - 24-4/4삭제,"W=4.0, H=2.0",개소,"398,511.0","2,144,163.0","53,223.0","2,595,897.0",호표 4994,,,,,
5FFDE49FE8414B0943C18E0C3ED715,콘크리트계단(9) - 24-4/4삭제,"W=4.0, H=3.0",개소,"521,482.0","2,702,766.0","71,274.0","3,295,522.0",호표 4995,,,,,
5FFDE49FE8414B0943C18E0C3EAA10,콘크리트계단(10) - 24-4/4삭제,"W=4.0, H=4.0",개소,"644,325.0","3,262,264.0","89,381.0","3,995,970.0",호표 4996,,,,,
